name,price,price_Y
A Light in the Attic,£51.77,￥441.64
Tipping the Velvet,£53.74,￥458.45
Soumission,£50.10,￥427.40
Sharp Objects,£47.82,￥407.95
Sapiens: A Brief History of Humankind,£54.23,￥462.63
The Requiem Red,£22.65,￥193.22
The Dirty Little Secrets of Getting Your Dream Job,£33.34,￥284.42
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,￥152.96
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,￥192.80
The Black Maria,£52.15,￥444.89
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,￥119.35
Shakespeare's Sonnets,£20.66,￥176.25
Set Me Free,£17.46,￥148.95
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,￥446.08
Rip it Up and Start Again,£35.02,￥298.75
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,￥488.39
Olio,£23.88,￥203.72
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,￥320.68
Libertarianism for Beginners,£51.33,￥437.89
It's Only the Himalayas,£45.17,￥385.34
In Her Wake,£12.84,￥109.54
How Music Works,£37.32,￥318.37
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,￥260.36
Chase Me (Paris Nights #2),£25.27,￥215.58
Black Dust,£34.53,￥294.57
Birdsong: A Story in Pictures,£54.64,￥466.13
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,￥191.95
Aladdin and His Wonderful Lamp,£53.13,￥453.25
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,￥343.80
Wall and Piece,£44.18,￥376.90
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,￥150.66
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,￥264.88
The Elephant Tree,£23.82,￥203.21
The Bear and the Piano,£36.89,￥314.70
Sophie's World,£15.94,￥135.98
Penny Maybe,£33.29,￥283.99
Maude (1883-1993):She Grew Up with the country,£18.02,￥153.73
"In a Dark, Dark Wood",£19.63,￥167.46
Behind Closed Doors,£52.22,￥445.48
You can't bury them all: Poems,£33.63,￥286.89
Slow States of Collapse: Poems,£57.31,￥488.91
Reasons to Stay Alive,£26.41,￥225.30
Private Paris (Private #10),£47.61,￥406.16
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,￥197.15
Without Borders (Wanderlove #1),£45.07,￥384.49
When We Collided,£31.77,￥271.03
"We Love You, Charlie Freeman",£50.27,￥428.85
Untitled Collection: Sabbath Poems 2014,£14.27,￥121.74
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,￥376.90
Unicorn Tracks,£18.78,￥160.21
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,￥217.71
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,￥138.88
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,￥265.48
This One Summer,£19.49,￥166.27
Thirst,£17.27,￥147.33
The Torch Is Passed: A Harding Family Story,£19.09,￥162.85
The Secret of Dreadwillow Carse,£56.13,￥478.84
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,￥481.23
The Past Never Ends,£56.50,￥482.00
The Natural History of Us (The Fine Art of Pretending #2),£45.22,￥385.77
The Nameless City (The Nameless City #1),£38.16,￥325.54
The Murder That Never Was (Forensic Instincts #5),£54.11,￥461.61
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,￥366.49
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,￥203.80
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,￥143.06
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,￥175.65
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,￥316.75
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,￥478.24
The Death of Humanity: and the Case for Life,£58.11,￥495.73
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,￥418.44
The Art Forger,£40.76,￥347.72
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,￥168.31
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,￥275.04
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,￥356.85
Soul Reader,£39.58,￥337.65
Security,£39.25,￥334.84
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,￥213.44
"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,￥435.42
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,￥169.17
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,￥429.96
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,￥116.11
Princess Between Worlds (Wide-Awake Princess #5),£13.34,￥113.80
"Pop Gun War, Volume 1: Gift",£18.97,￥161.83
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,￥309.50
Patience,£10.16,￥86.67
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,￥131.72
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,￥412.98
Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,￥395.41
On a Midnight Clear,£14.07,￥120.03
Obsidian (Lux #1),£14.86,￥126.77
My Paris Kitchen: Recipes and Stories,£33.37,￥284.68
Masks and Shadows,£56.40,￥481.14
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,￥119.60
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,￥400.18
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,￥389.09
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,￥169.94
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,￥342.17
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,￥459.82
Join,£35.67,￥304.30
In the Country We Love: My Family Divided,£22.00,￥187.68
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,£57.36,￥489.33
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",£29.17,￥248.85
I am a Hero Omnibus Volume 1,£54.63,￥466.04
How to Be Miserable: 40 Strategies You Already Use,£46.03,￥392.68
Her Backup Boyfriend (The Sorensen Family #1),£33.97,￥289.79
"Giant Days, Vol. 2 (Giant Days #5-8)",£22.11,￥188.62
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,￥253.28
First and First (Five Boroughs #3),£15.97,￥136.24
Fifty Shades Darker (Fifty Shades #2),£21.96,￥187.34
